"",DEM,REP,GRN,LIB,WCP,UNAF,OTH,TOTAL,DUPS
BSENTEE BALLOT (FPCA),49,15,1,0,0,24,1,90,"1,020"
Y MAIL,1058,270,4,5,2,405,22,"1,766",554
ESIGNATED STATE AGENCIES,223,52,1,1,6,160,30,473,66
LDERLY / DISABLED / SOC SEC,451,93,3,8,3,218,9,785,5
RIC REPORT,3342,1078,10,28,9,1387,70,"5,924",6
ROM ANOTHER BOARD,0,0,0,0,0,0,0,0,0
ROVISIONAL BALLOT,3,0,0,0,0,0,0,3,25
N PERSON,47,19,1,2,0,21,0,90,345
OTOR VEHICLE ADMINISTRATION,12250,3456,69,201,87,8092,352,"24,507",341
VRA BY MAIL,61,5,0,0,0,33,1,100,12
NLINE REGISTRATION,1658,569,8,27,18,1001,25,"3,306","1,027"
THER MEANS,60,12,0,0,1,22,1,96,97
ECRUITING,0,0,0,0,0,0,0,0,0
AME DAY REGISTRATION,2,0,0,0,0,0,0,2,0
OCIAL SERVICES,1,0,0,0,0,0,0,1,0
OLUNTEER,223,92,1,6,4,150,4,480,10
OTAL,"19,428","5,661",98,278,130,"11,513",515,"37,623","3,508"
