zip,donations,total,NAME,variable,populationtotal,moe,donation_rate_per_1000
20601,6976,190404.72999999975,ZCTA5 20601,totalpopulation,25517,1367,273.38636987106634
20602,6758,109716.81999999996,ZCTA5 20602,totalpopulation,26550,1088,254.53860640301318
20603,12854,248108.6100000006,ZCTA5 20603,totalpopulation,31975,1042,402.00156372165753
20606,11,131.43,ZCTA5 20606,totalpopulation,374,186,29.41176470588235
20607,6889,181393.81000000043,ZCTA5 20607,totalpopulation,10843,810,635.3407728488426
20608,337,2569.720000000003,ZCTA5 20608,totalpopulation,860,191,391.8604651162791
20609,61,2290,ZCTA5 20609,totalpopulation,1151,285,52.99739357080799
20611,46,1206,ZCTA5 20611,totalpopulation,1634,338,28.151774785801713
20612,21,399.17,ZCTA5 20612,totalpopulation,203,146,103.44827586206897
20613,6436,170352.85000000012,ZCTA5 20613,totalpopulation,14020,956,459.0584878744651
20615,25,633,ZCTA5 20615,totalpopulation,421,190,59.38242280285035
20616,1703,38740.899999999994,ZCTA5 20616,totalpopulation,6389,852,266.5518860541556
20617,274,7542.26,ZCTA5 20617,totalpopulation,832,260,329.3269230769231
20618,313,6069.32,ZCTA5 20618,totalpopulation,406,160,770.935960591133
20619,2733,63659.01000000006,ZCTA5 20619,totalpopulation,15052,1018,181.57055540791922
20620,393,7357.65,ZCTA5 20620,totalpopulation,1369,487,287.0708546384222
20621,66,967,ZCTA5 20621,totalpopulation,960,329,68.75
20622,356,8922.109999999999,ZCTA5 20622,totalpopulation,6887,865,51.69159285610571
20623,2075,33616.96000000001,ZCTA5 20623,totalpopulation,2997,349,692.3590256923591
20624,60,795,ZCTA5 20624,totalpopulation,1409,256,42.583392476933994
20625,454,9224.020000000004,ZCTA5 20625,totalpopulation,646,301,702.7863777089783
20626,240,3636.8600000000006,ZCTA5 20626,totalpopulation,304,120,789.4736842105264
20628,43,12163.26,ZCTA5 20628,totalpopulation,477,275,90.14675052410902
20629,37,813,ZCTA5 20629,totalpopulation,383,281,96.60574412532637
20630,371,24333.75,ZCTA5 20630,totalpopulation,301,146,1232.5581395348836
20632,21,2812.5,ZCTA5 20632,totalpopulation,432,187,48.611111111111114
20634,1095,27256.079999999944,ZCTA5 20634,totalpopulation,6478,969,169.03365236184007
20636,2316,58391.37,ZCTA5 20636,totalpopulation,10805,1009,214.345210550671
20637,2083,40167.06999999999,ZCTA5 20637,totalpopulation,5751,725,362.19787862980354
20639,3313,119571.28999999998,ZCTA5 20639,totalpopulation,15793,662,209.77648325207372
20640,1569,24599.82999999998,ZCTA5 20640,totalpopulation,10333,706,151.84360785831802
20645,199,10778.3,ZCTA5 20645,totalpopulation,749,165,265.6875834445928
20646,5566,130374.95000000004,ZCTA5 20646,totalpopulation,21951,939,253.56475786980093
20650,3964,144375.84000000023,ZCTA5 20650,totalpopulation,14672,874,270.1744820065431
20653,3608,81705.0799999999,ZCTA5 20653,totalpopulation,24274,1303,148.6364010875834
20657,5067,125720.03000000009,ZCTA5 20657,totalpopulation,19226,847,263.54936024133985
20658,288,10475.370000000004,ZCTA5 20658,totalpopulation,848,241,339.62264150943395
20659,2061,66697.38,ZCTA5 20659,totalpopulation,23312,1085,88.40940288263555
20660,5,190,ZCTA5 20660,totalpopulation,0,12,Inf
20662,316,3207.0199999999995,ZCTA5 20662,totalpopulation,2876,467,109.87482614742699
20664,225,19794.23,ZCTA5 20664,totalpopulation,3462,532,64.99133448873484
20667,37,1525.39,ZCTA5 20667,totalpopulation,633,385,58.45181674565561
20670,100,2542.67,ZCTA5 20670,totalpopulation,1441,327,69.39625260235947
20674,355,9889.67,ZCTA5 20674,totalpopulation,848,467,418.6320754716981
