"","zip","donations","total","NAME","variable","populationtotal","moe","donation_rate_per_1000"
"1","20601",1425,35154.4,"ZCTA5 20601","totalpopulation",25517,1367,55.8451228592703
"2","20602",897,22974.04,"ZCTA5 20602","totalpopulation",26550,1088,33.7853107344633
"3","20603",1449,54640.3600000001,"ZCTA5 20603","totalpopulation",31975,1042,45.3166536356529
"4","20606",21,293.6,"ZCTA5 20606","totalpopulation",374,186,56.1497326203209
"5","20607",578,12869.2,"ZCTA5 20607","totalpopulation",10843,810,53.3062805496634
"6","20608",26,960.7,"ZCTA5 20608","totalpopulation",860,191,30.2325581395349
"7","20609",48,2305.44,"ZCTA5 20609","totalpopulation",1151,285,41.7028670721112
"8","20611",35,826.2,"ZCTA5 20611","totalpopulation",1634,338,21.4198286413709
"9","20612",146,717.07,"ZCTA5 20612","totalpopulation",203,146,719.211822660099
"10","20613",1242,21712.1499999999,"ZCTA5 20613","totalpopulation",14020,956,88.5877318116976
"11","20615",156,2400.24,"ZCTA5 20615","totalpopulation",421,190,370.546318289786
"12","20616",292,6938.14,"ZCTA5 20616","totalpopulation",6389,852,45.7035529816873
"13","20617",122,2581.13,"ZCTA5 20617","totalpopulation",832,260,146.634615384615
"14","20618",111,3086.19,"ZCTA5 20618","totalpopulation",406,160,273.399014778325
"15","20619",1321,50741.1300000001,"ZCTA5 20619","totalpopulation",15052,1018,87.7624235981929
"16","20620",163,5863.94,"ZCTA5 20620","totalpopulation",1369,487,119.065010956903
"17","20621",39,1845.49,"ZCTA5 20621","totalpopulation",960,329,40.625
"18","20622",383,17405.31,"ZCTA5 20622","totalpopulation",6887,865,55.6120226513722
"19","20623",103,2147.44,"ZCTA5 20623","totalpopulation",2997,349,34.3677010343677
"20","20624",18,727.23,"ZCTA5 20624","totalpopulation",1409,256,12.7750177430802
"21","20625",26,1835.37,"ZCTA5 20625","totalpopulation",646,301,40.2476780185759
"22","20626",16,1488.6,"ZCTA5 20626","totalpopulation",304,120,52.6315789473684
"23","20628",88,2661.53,"ZCTA5 20628","totalpopulation",477,275,184.486373165618
"24","20630",57,8129.48,"ZCTA5 20630","totalpopulation",301,146,189.36877076412
"25","20632",74,1660.46,"ZCTA5 20632","totalpopulation",432,187,171.296296296296
"26","20634",2590,41293.0599999999,"ZCTA5 20634","totalpopulation",6478,969,399.814757641247
"27","20636",1831,39801.9999999999,"ZCTA5 20636","totalpopulation",10805,1009,169.458583988894
"28","20637",1342,50569.8899999999,"ZCTA5 20637","totalpopulation",5751,725,233.350721613632
"29","20639",4060,78700.2900000003,"ZCTA5 20639","totalpopulation",15793,662,257.075919711264
"30","20640",1132,23500.45,"ZCTA5 20640","totalpopulation",10333,706,109.551921029711
"31","20645",104,2337.07,"ZCTA5 20645","totalpopulation",749,165,138.851802403204
"32","20646",5750,92164.8600000004,"ZCTA5 20646","totalpopulation",21951,939,261.947063915084
"33","20650",6687,111278.180000001,"ZCTA5 20650","totalpopulation",14672,874,455.766085059978
"34","20653",2289,45948.46,"ZCTA5 20653","totalpopulation",24274,1303,94.2984262997446
"35","20657",1350,80439.9200000004,"ZCTA5 20657","totalpopulation",19226,847,70.2174139186518
"36","20658",11,1121.18,"ZCTA5 20658","totalpopulation",848,241,12.9716981132075
"37","20659",3755,91069.1900000005,"ZCTA5 20659","totalpopulation",23312,1085,161.075840768703
"38","20660",2,2000,"ZCTA5 20660","totalpopulation",0,12,Inf
"39","20662",133,9742.39,"ZCTA5 20662","totalpopulation",2876,467,46.2447844228095
"40","20664",281,8245.47,"ZCTA5 20664","totalpopulation",3462,532,81.1669555170422
"41","20667",30,1417.13,"ZCTA5 20667","totalpopulation",633,385,47.3933649289099
"42","20670",19,705.89,"ZCTA5 20670","totalpopulation",1441,327,13.1852879944483
"43","20674",209,9114.10000000001,"ZCTA5 20674","totalpopulation",848,467,246.462264150943
"44","20675",131,4188.69,"ZCTA5 20675","totalpopulation",2017,453,64.9479424888448
"45","20676",691,23146.86,"ZCTA5 20676","totalpopulation",3848,519,179.573804573805
"46","20677",10510,52261.3000000004,"ZCTA5 20677","totalpopulation",2416,392,4350.16556291391
"47","20678",2547,50940.4999999999,"ZCTA5 20678","totalpopulation",12261,704,207.731832640078
