Year,Percent DEM,Percent REP,Percent UNAF
2004,55.25568565,29.30027718,13.91851868
2006,55.14571027,28.93189284,13.87894026
2008,56.71495305,27.02866157,14.14809862
2010,56.43514102,26.68209659,15.2358443
2012,55.74908597,25.96327659,16.63155618
2014,54.9152767,25.66753767,17.86613788
2016,55.00274659,26.01236168,17.43947874
2018,54.85018165,25.47630899,18.06055139
2020,54.96116452,24.68539244,18.79412986
2022,54.0633511,23.97947509,20.27006985
2024,52.38125702,23.89493862,21.84667046
