COUNTY,DEM18,REP18,GRN18,LIB18,UNAF18,OTH18,TOTAL18
ALLEGANY,13663,21643,138,294,7265,295,43298
ANNE ARUNDEL,162981,135621,832,2875,84524,1352,388185
BALTIMORE CITY,304930,30776,1258,1452,47023,1749,387188
BALTIMORE CO.,311012,143282,1413,3224,92838,4541,556310
CALVERT,23847,27662,139,487,13539,377,66051
CAROLINE,6828,9465,25,119,3879,114,20430
CARROLL,32514,63781,257,946,24442,821,122761
CECIL,21501,28444,154,436,14420,559,65514
CHARLES,68493,25077,166,512,18390,506,113144
DORCHESTER,9966,8219,27,106,3043,107,21468
FREDERICK,64942,67637,446,1352,39911,348,174636
GARRETT,4204,12866,36,112,2519,131,19868
HARFORD,64963,78516,397,1396,35711,1111,182094
HOWARD,108681,55799,503,1270,48833,1814,216900
KENT,6031,4802,30,80,2094,102,13139
MONTGOMERY,391412,113905,1583,3124,144643,4747,659414
PR. GEORGE'S,457480,40484,1040,1673,68243,11319,580239
QUEEN ANNE'S,10851,18074,70,256,6666,175,36092
ST. MARY'S,25769,29748,134,558,14678,411,71298
SOMERSET,5904,5329,19,63,1839,74,13228
TALBOT,10291,11631,46,164,4896,200,27228
WASHINGTON,32306,42744,250,720,19526,523,96069
WICOMICO,26626,22990,138,411,11243,429,61837
WORCESTER,14101,17162,84,252,7003,316,38918
TOTAL,2179296,1015657,9185,21882,717168,32121,3975309
