COUNTY,DEM20,REP20,GRN 20,LIB20,WCP20,BAR20,UNAF20,OTH20,TOTAL20
ALLEGANY,12844,22530,73,197,13,19,7724,391,43791
ANNE ARUNDEL,174478,135564,546,1797,165,105,90602,2734,405991
BALTIMORE CITY,309855,29760,757,876,199,114,51670,3241,396472
BALTIMORE CO.,313060,142352,869,2129,224,137,100948,5902,565621
CALVERT,24554,28140,79,315,24,20,14269,576,67977
CAROLINE,6625,10015,33,86,13,2,4244,164,21182
CARROLL,33730,64349,149,632,27,29,26136,1082,126134
CECIL,21627,30794,98,312,43,7,15238,732,68851
CHARLES,72644,24690,110,331,68,21,19960,766,118590
DORCHESTER,9806,8723,19,71,12,4,3360,147,22142
FREDERICK,72355,69012,261,891,58,56,43375,785,186793
GARRETT,4014,13376,21,80,10,5,2612,155,20273
HARFORD,66365,80275,215,907,54,50,38285,1540,187691
HOWARD,119270,53017,300,762,47,50,52435,2079,227960
KENT,5993,4982,18,48,9,2,2291,117,13460
MONTGOMERY,410540,105840,984,1909,172,165,148284,5959,673853
PR. GEORGE'S,472523,39582,649,1068,202,139,76989,11396,602548
QUEEN ANNE'S,11086,18987,39,181,7,4,7213,285,37802
ST. MARY'S,26366,30567,93,354,29,19,15677,605,73710
SOMERSET,5683,5705,18,45,7,4,2060,93,13615
TALBOT,10729,11708,27,118,10,4,5187,254,28037
WASHINGTON,32796,44155,119,485,38,25,20687,901,99206
WICOMICO,27107,23659,87,299,31,14,12343,644,64184
WORCESTER,14049,18249,49,166,7,8,7612,433,40573
TOTAL,2258099,1016031,5613,14059,1469,1003,769201,40981,4106456
